post,words,words_count,hashtags,hashtags_count,label
"Jeden plus   gr na WOŚP

Poprzednie wpisy
 
 

Zasady
 Deadline północ z  na  czasu polskiego
 Zastrzegam sobie prawo do zmian przy czym zmiany nigdy nie będą działały retroaktywnie",jeden plus WOŚP poprzedni wpis zasada deadline północ czas polski zastrzegać soba prawo zmiana przy czy zmiana nigdy nie być działać retroaktywnie,22,wosp wosp2020,2,1
"Hmm 
Inflacja inflacją ale maszyna zasponsorowana przez WOŚP mi dzieci badała trzeba by oddać ten dług dobroci

Nawiązując do wpisu  
I powołując się na klauzulę sumienia pod tagami  

Oferuję na WOŚP zł za każdego plusa  bez przeliczników bez zmian zasad bez odwołania Zbieramy do jutra Czyli  z poniedziałku na wtorek   Przelew wyjdzie albo tuż po zbiórce albo w środę rano

Niech się dzieje wola MIRKO",hmm inflacja inflacja ale maszyna zasponsorować przez WOŚP dziecko badać trzeba oddać ten dług dobroć nawiązywać wpis powoływać się klauzula sumienie pod tag oferować WOŚP każdy plus bez przelicznik bez zmiana zasada bez odwołanie zbierać jutro czyli poniedziałek wtorek przelew wyjść alba tuż zbiórka alba środa rano niech się dziać woli Mirka,52,wosp,1,1
"O tym jak ten trzeci z  alias Jacek Lągwa stał się moim hostingiem zdjęć na  inb wiem że teraz można wysyłać wiadomości do siebie ale nasza jednostronna współpraca trwa od dwóch lat xD

Nie chcę mi się przez kabel USB przesyłać zdjęć na komputer więc wysyłam je Jackowi na Messenger i potem zgrywam sobie to na PC Lecą filmy zdjęcia skopiowanie teksty etc Nic drażliwego wbrew pozorom raczej głupie obrazki

Przez  lata nie odczytał żadnej wiadomości a jako że mi niedawno wyskoczył artykuł w google że jest bankrutem to idąc tokiem wykopowych eksperymentów społecznych byłem ciekaw czy zareaguje na słowo powiązane z pieniądze Tym sposobem pierwszy raz od dwóch lat odczytał wiadomości ode mnie xD  ciekawe co sobie pomyślał jak przescrollował wiadomości do góry xD",ten jak ten trzeci alias Jacek lągwa stać się mój hosting zdjęcia inb wiedzieć teraz możny wysyłać wiadomości siebie ale nasz jednostronny współpraca trwać dwa lato nie chcieć się przez kabel USB przesyłać zdjęcia komputer więc wysyłać Jacek messenger potem zgrywać soba leca film zdjęcia skopiować tekst etc nic drażliwy wbrew pozora raczy głupi obrazek przez latać nie odczytać żaden wiadomości jaka niedawno wyskoczyć artykuł Google być bankrut iść tok wykopowy eksperyment społeczny być ciekawy czy zareagować słowo powiązać pieniądz ten sposób pierwszy raz dwa lato odczytać wiadomości od miąć ciekawy soba pomyśleć jak przescrollował wiadomości góry,97,ichtroje facebook heheszki,3,1
Wskoczyć w tym nieludzkim państwie do drugiego progu podatkowego to jak dostać obuchem w łeb Klasa średnia w Polsce to barany do strzyżenia I dziwić się potem ze każdy kto ma taką możliwość spierdala na działalność Różnica brutto do netto    podatków i innych danin na rzecz państwa A jeszcze później  vatu xdddd,wskoczyć ten nieludzki państwo drugi próg podatkowy jak dostać obuch łeb klasa średni Polska baran strzyżenie dziwić się potem każdy kto taki możliwość spierdalać działalność różnica brutto netto podatek inny danina rzecz państwo jeszcze późno vatu xdddd,37,podatki polska zlodzieje gospodarka,4,1
"Ożesz kurwa XDDD

Kumpel leci samolotem startuje w sumie i podbija do niego rodzinka w samolotach dla niewiedzących przynajmniej wizzair są  miejsca obok siebie  i pytają kumpla

  Czy może się przesiąść XDDDDDDDDD BO BOMBELEK


JA PIERDOLE JA MYŚLAŁEM ŻE TO TYLKO MIT ALE TACY IDIOCI SERIO KURWA ISTNIEJĄ XDDDDDDDDD",ożesz kurwa xddd kumpel lecieć samolot startować sum podbijać on rodzinka samolot dla wiedzieć przynajmniej wizzair miejsce obok siebie pytać kumpel czy móc się przesiąść xddddddddd Bombelka pierdoła myśleć tylko mit ale taki idiota serio kurwa istnieć xddddddddd,38,truestory pasta patologiazewsi patologiazmiasta japierdole,5,1
"Dobra Muszę się podzielić z wami w jakim społeczeństwie żyjemy Prezentuje autorski tag  gdzie będę umieszczał wycinki rozmów z januszami biznesu których świadomość rynkowa i produktowa jest zerowa Są to zazwyczaj próby żebrania o darmowe wykonanie pracy Są zarówno polacy jak i nie polacy Jednak na początek ci pierwsi

Zapraszam do udziału w karuzeli spierdolenia odcinek  sezon 

Narazie użyje tagów    i  Potem już tylko tag autorski",dobry musza się podzielić wy jaki społeczeństwo żyć prezentować autorski tag gdzie być umieszczać wycinka rozmowa Janusz biznes który świadomość rynkowy produktowy być zerowy zazwyczaj próba żebrać darmowy wykonanie praca zarówno Polak jak nie Polak jednak początek pierwszy zapraszać udział karuzel spierdolić odcinek sezon naraz użyć tag potem już tylko tag autorski,52,biedadesign januszebiznesu polakicebulaki bekazpodludzi zalesie,5,1
"Od początku  roku spisuję wyniki losowań Lotto Zacząłem to robić z myślą że być może wpłynie to pozytywnie na wygrane ale też dlatego że lubię statystyki Pomyślałem że podzielę się danymi zebranymi w zeszłym roku i co nieco o nich opowiem

W minionym roku odbyło się  losowań Najczęściej wylosowane liczby to
   razy
  
  
  
  
  
Ani razu nie wylosowano jednak więcej niż  z nich jednocześnie Gdyby taki zestaw liczb skreślać w każdym losowaniu które odbyło się w zeszłym roku to trójkę trafiłoby się  razy Z pozostałych wyników  razy wylosowano dwie liczby z tego zestawu  razy jedną i  razy żadnej Innymi słowy daje to  losowań  w których pojawiła się przynajmniej jedna z powyższych liczb Dodam że wśród liczb wylosowanych  razy są  i 

Najrzadziej losowane liczby to z kolei
   razy
  
  
  
  
  
Gdyby skreślać za każdym razem taki zestaw również nie trafiłoby się niczego ponad trójkę którą wygrałoby się  razy Z pozostałych wyników  razy wylosowano dwie liczby z takiego kuponu  razy jedną i  razy nie trafiła się żadna liczba Oznacza to że w  losowaniach  pojawiała się przynajmniej jedna z nich

Każda liczba została wylosowana średnio  raza  liczb  zostało wylosowanych  lub więcej razy a  liczb  zostało wylosowanych  lub mniej razy Z tego wynika że grupa liczb częściej wskazywanych przez maszynę losującą była węższa od grupy liczb wskazywanych rzadziej
Średnią liczbą w grupie trafianych częściej jest  a średnią liczbą w grupie trafianych rzadziej jest  Różnica jest spora i zwraca uwagę na to że częściej trafiane były liczby niskie niż wysokie

Dodam że szczęśliwe oczko  było jedną z rzadziej losowanych liczb  trafiło się  razy pechowa  została wylosowana  razy a szczęśliwa  już częściej   razy

Spośród szóstek liczb które były wylosowane w danym dniu w  przypadkach  te same liczby dałyby czwórkę w jakimś innym losowaniu Ani razu nie dałyby piątki ani kolejnej szóstki W dwóch z tych  przypadków wylosowane liczby dałyby czwórkę nie w jednym a w dwóch spośród innych losowań liczby wylosowane  marca       dałyby czwórkę również  lutego i  marca a z kolei liczby wylosowane  października       dałyby czwórkę również  czerwca i  września Mamy tu dwie ciekawe sytuacje   marca powtórzyły się cztery liczby z poprzedniego losowania a w obu zestawach tych najszczęśliwszych liczb powtarzają się  i 

Interesujące mogą być też rozpiętości czyli różnice pomiędzy najniższą a najwyższą liczbą wskazaną przez maszynę losującą Wahają się od  trzy razy aż do  cztery razy co oznacza że czterokrotnie wylosowano jednocześnie  i  Najczęściej występujące rozpiętości to
   razy
  
  
Średnia rozpiętość wyniosła  W  losowaniach  rozpiętość wyniosła mniej niż średnia a  razy  była powyżej średniej
Wspomniane najniższe rozpiętości  wystąpiły
 marca       
 września       
 października       

W  losowaniach  zdarzyła się sytuacja w której wylosowane zostały dwie następujące po sobie liczby W  spośród nich wylosowane zostały dwie takie pary liczb a w  losowaniach trzy takie pary
 lutego       
 marca       
 października       
Ponadto w  losowaniach zdarzyła się sytuacja w której wylosowano co najmniej jedną liczbę większą o  od poprzedniej oraz w  losowaniach wylosowano co najmniej jedną liczbę o  większą od poprzedniej Którakolwiek z wyżej wymienionych sytuacji miała miejsce w  losowaniach  co oznacza że praktycznie zawsze przynajmniej część wylosowanych liczb była bardzo blisko siebie Odbyło się tylko  losowanie w którym minimalna różnica pomiędzy kolejnymi wylosowanymi liczbami wyniosła nie mniej niż  i było to losowanie z  grudnia       

Po podzieleniu średniej rozpiętości przez  czyli ilości różnic pomiędzy kolejnymi wylosowanymi liczbami i porównaniu z otrzymanym wynikiem  kolejnych różnic w poszczególnych losowaniach najbardziej równomiernie rozłożonym losowaniem czyli takim w którym średnie odchylenie od  było najniższe okazało się to z  czerwca        gdzie odchylenie wyniosło  Z kolei losowaniami w których wyniki były najbardziej zagęszczone były te z odchyleniami  z  kwietnia        i z  października       

Z wylosowanych liczb w kolejnych losowaniach stworzyłem macierz wyników którą zamieszczam poniżej Spojrzenie na nią pozwala zauważyć wiele zaskakujących sytuacji takich jak liczby losowane w trzech lub nawet czterech losowaniach z rzędu te same liczby powtarzające się w co drugim losowaniu przez jakiś czas czy różnorakie schodki i inne figury Da się również zauważyć to o czym pisałem dwa akapity wyżej  w większości przypadków losowane liczby są w jakiejś części zagęszczone

Na koniec dwa słowa o moim graniu w zeszłym roku  puszczałem kupon Lotto w sumie  razy czyli niecały raz na tydzień Zawsze skreślałem liczby samodzielnie puszczałem jeden zakład bez plusa ani super szansy Nie wygrałem ani złotówki  razy nie trafiłem żadnej liczby  razy trafiłem jedną i  razy trafiłem dwie Zyskiem okazało się to że dla prowadzenia tej statystki nauczyłem się pisać w Excelu formułę która porównuje dwa ciągi liczb i sprawdza ile z nich się powtarza oraz że dla stworzenia poniższej macierzy udało mi się napisać formułę która automatycznie pokolorowała odpowiednie komórki zgodnie ze spisaną listą wyników Zebranie i przeanalizowanie statystyk pod kątem napisania tego tekstu również było rozwijające i zabawne

I to by było na tyle może w tym roku będę miał więcej szczęścia Dziękuję za poświęcony czas",początek rok spisować wynik losowanie lotto zacząć robić myśl bycie móc wpłynąć pozytywnie wygrany ale tenże dlatego lubić statystyka pomyśleć podzielić się dany zebrać zeszły rok nieco on opowiedzieć miniony rok odbyć się losowanie często wylosować liczba raz ani raz nie wylosować jednak dużo niż on jednocześnie gdyby taki zestaw liczba skreślać każdy losowanie który odbyć się zeszły rok trójka trafić się raz pozostały wynik raz wylosować dwa liczba ten zestaw raz jeden raz żaden inny słowo dawać losowanie który pojawić się przynajmniej jeden powyższy liczba dodać wśród liczba wylosować raz rzadko losować liczba kolej raz gdyby skreślać każdy razem taki zestaw również nie trafić się nic ponad trójka który wygrać się raz pozostały wynik raz wylosować dwa liczba taki kupon raz jeden raz nie trafić się żaden liczba oznaczać losowanie pojawiać się przynajmniej jeden on każdy liczba zostać wylosować średnio raz liczba zostać wylosować lub dużo raz liczba zostać wylosować lub mało raz ten wynikać grupa liczba często wskazywać przez maszyna losować były wąski grupa liczba wskazywać rzadko średni liczba grupa trafiać często być średni liczba grupa trafiać rzadko być różnica być spory zwracać uwaga często trafiać były liczba niski niż wysoki dodać szczęśliwy oczko być jeden rzadko losować liczba trafić się raz pechowy zostać wylosować raz szczęśliwy już często raz spośród szóstka liczba który były wylosować dany dzień przypadek sam liczba dać czwórka jakiś inny losowanie ani raz nie dać piątka ani kolejny szóstka dwa ten przypadek wylosować liczba dać czwórka nie jeden dwa spośród inny losowanie liczba wylosować marzec dać czwórka również luty marzec kolej liczba wylosować październik dać czwórka również czerwiec września mama dwa ciekawy sytuacja marzec powtórzyć się cztery liczba poprzedni losowanie oba zestaw ten szczęśliwy liczba powtarzać się interesujący móc bycie tenże rozpiętość czyli różnica pomiędzy niski wysoki liczba wskazany przez maszyna losować wahać się trzy raz cztery raz oznaczać czterokrotnie wylosować jednocześnie często występować rozpiętość raz średni rozpiętość wyniosły losowanie rozpiętość wyniosły mało niż średni raz były powyżej średni wspomnieć niski rozpiętość wystąpić marzec września październik losowanie zdarzyć się sytuacja który wylosować zostać dwa następujący soba liczba spośród on wylosować zostać dwa taki par liczba losowanie trzy taki par luty marzec październik ponadto losowanie zdarzyć się sytuacja który wylosować najmniej jeden liczba wielki poprzedni oraz losowanie wylosować najmniej jeden liczba wielki poprzedni którykolwiek wysoce wymienić sytuacja mieć miejsce losowanie oznaczać praktycznie zawsze przynajmniej część wylosować liczba były bardzo blisko siebie odbyć się tylko losowanie który minimalny różnica pomiędzy kolejny wylosować liczba wyniosły nie mało niż być losowanie grudzień podzielić średni rozpiętość przez czyli ilość różnica pomiędzy kolejny wylosować liczba porównanie otrzymać wynik kolejny różnica poszczególny losowanie bardzo równomiernie rozłożyć losowanie czyli taki który średni odchylenie być niski okazać się czerwiec gdzie odchylenie wynieść kolej losowanie który wynik były bardzo zagęścić były odchylenie kwietni październik wylosować liczba kolejny losowanie stworzyć macierz wynik który zamieszczać poniżej spojrzenie on pozwalać zauważyć wiele zaskakujący sytuacja taki jak liczba losować trzy lub nawet cztery losowanie rząd sam liczba powtarzać się drugi losowanie przez jakiś czas czy różnoraki schodki inny figura się również zauważyć czy pisać dwa akapit wysoce większość przypadek losować liczba jakiś częsty zagęścić koniec dwa słowo mój granie zeszły rok puszczać kupon lotto sum raz czyli niecały raz tydzień zawsze skreślać liczba samodzielnie puszczać jeden zakład bez plus ani super szansa nie wygrać ani złotówka raz nie trafić żaden liczba raz trafić jeden raz trafić dwa zysk okazać się dla prowadzenie ten statystka nauczyć się pisać excel formuła który porównywać dwa ciąg liczba sprawdzać ił on się powtarzać oraz dla stworzenie poniższy macierz udać się napisać formuła który automatycznie pokolorować odpowiedni komórka zgodnie spisać lista wynik zebranie przeanalizować statystyk pod kąt napisać ten tekst również być rozwijać zabawny być tyli móc ten rok być mieć dużo szczęście dziękować poświęcony czas,624,lotto hazard ciekawostki statystyka,4,1
,,0,heheszki humorobrazkowy takbylo paint,4,1
csmilitia niedoceniona mapa przez wielu graczy i kiedy przychodziło na niej grać zaraz większość płakała do admina żeby zmienić Bardzo fajnie mi się na niej grało,csmilitia docenić mapa przez wiele gracz kiedy przychodzić on grać zaraz większość płakać admin żeby zmienić bardzo fajnie się on grać,21,gry cs16 nostalgia,3,1
,,0,zagadka,1,1
