post,words,words_count,hashtags,hashtags_count,label
"







            xDDD
 



			    	    












 








",xddd,1,stonoga,1,1
"







            Dwanaście lat już tu mam konto najwyższa pora coś napisać 

Pozdrawiam                			



			    	    












 








",dwanaście lato już mieć konto wysoki pora co napisać pozdrawiać,10,,0,1
"







            Oh shit here we go again  ʖ 
  



			    	    












 








",shit here again,3,chajzer tvn,2,1
"







            Co Wy wiecie o Januszowaniu Miraski xD

  

  Nie moje zdjęcie i praca jakby co 
 



			    	    












 








",wiedzieć januszowaniu miraski nie mój zdjęcie praca jakby,8,bekazpodludzi januszebiznesu pracbaza,3,1
"







            Mirki i Mirabelki

chciałbym zrobić swoje pierwsze  

Wraz z kuzynem od jakiegoś czasu w ramach  robimy sobie deski do krojenia i deski do serwowania Póki co robimy dla siebie czy też na prezenty dla rodziny

Mamy mały bardzo amatorski warsztacik i w wolnej chwili po godzinach po normalnej pracy czasem dłubiemy sobie takie rzeczy 

Już  lat siedzę na tym portalu więc chciałbym wraz z kuzynem zrobić lekkie  i rozdać jedną deskę dla plusujących wpis zielonki nie biorą udziału   ʖ  W zamian chciałbym prosić o informację zwrotną jak deska Wam się podoba na żywo i jak się z niej korzysta Liczę że osoba która wygra nie zapomni o tym 

Deska wykonana jest z orzecha amerykańskiego Używamy elektronarzędzi ale całość jest wykonana ręcznie od nadania kształtu przez kilkukrotne szlifowanie aż po kilkukrotne olejowanie

Do olejowania użyliśmy oleju OSMO dopuszczonego do kontaktu z żywnością 

Jak widzicie wypalony jest też nasz brand który sobie wymyśliliśmy na własne potrzeby bo nigdzie tych desek nie sprzedajemy xD

Długa jest na  centymentrów a w najszerszym miejscu ma  cm  Waży trochę ponad kilo więc można powiedzieć że to kawał grubaśnej dechy  Koszt wysyłki po mojej stronie 

Jakby ktoś się zastanawiał to jeśli deska będzie używana to nie będzie wiecznie taka gładziutka i ładna Jednak spokojnie będziecie mogli z niej korzystać do końca życia jeśli odpowiednio o nią zadbacie

 jak deska będzie już porysowana od noża zawsze można ją na nowo przeszlifować
 gdy zacznie chłonąć wodę warto ją ponownie pokryć olejem
 no i przede wszystkim nie zostawiać w stojącej wodzie 

Gdyby ktoś chciał za jakiś czas zobaczyć jak wyglądają nasze pozostałe potworywytwory to co jakiś czas wrzucę coś pod  

    i  bo Wam się może przydać 
Plusy zbieram do  do  a w piąteczek jakoś w ciągu dnia losowanie przez   



			    	    












 








",Mirka mirabelka chcieć zrobić swój pierwszy wraz kuzyn jakiś czas rama robić soba deska kroić deska serwować póki robić dla siebie czy tenże prezent dla rodzina mama mały bardzo amatorski warsztacik wolny chwila godzina normalny praca czas dłubać soba taki rzecz już lato siedzieć ten portal więc chcieć wraz kuzyn zrobić lekki rozdać jeden deska dla plusujących wpis zielonka nie brać udział zamiana chcieć prosić informacja zwrotny jak deska wy się podobać żywo jak się on korzystać liczyć osoba który wygrać nie zapomnieć ten deska wykonać być orzech amerykański używać elektronarzędzie ale całość być wykonać ręcznie nadanie kształt przez kilkukrotny szlifowanie kilkukrotny olejować olejować użyć olej osmo dopuścić kontakt żywność jak widzieć wypalić być tenże nasz brand który soba wymyślić własny potrzeba nigdzie ten deska nie sprzedawać długi być centymentrów szeroki miejsce ważyć trochę ponad kilo więc możny powiedzieć kawał grubaśny decha koszt wysyłka mój strona jakby kto się zastanawiać jeśli deska być używać nie być wiecznie taki gładziutki ładny jednak spokojnie być mogel on korzystać koniec życie jeśli odpowiednio on zadbać jak deska być już porysować nóż zawsze możny nowo przeszlifować gdy zacząć chłonąć woda warto ponownie pokrycie olej przed wszystek nie zostawiać stojący woda gdyby kto chcieć jakiś czas zobaczyć jak wyglądać nasz pozostały potworywytwory jakiś czas wrzucić co pod wy się móc przydać plus zbierać piąteczek jakoś ciąg dzień losowanie przez,224,rozdajo hobby chwalesie rudewood diy rekodzielo majsterkowanie stolarstwo gotujzwykopem mirkolos,10,1
"







            jest ktos zainteresowany moja opinia na temat azjatek i cala otoczka zwiazana z relacjami z tymi laskami seksturystyka imprezami rzeczami ktore mnie zaskoczyly bedac w Tajlandii Bangkok  Phuket przez  tyg

Temat ladyboyowprostytutekcen protipow 

Napisalem komentarz pod jednym postem i dostalem  wiadomosci w ciagu h wiec moze znajdzie sie wiecej chetnych ktorzy moze wyjezdzaja pobawic sie do Tajlandii   ʖ 

       


			    	    












 








",być ktos zainteresowany mój opinia temat Azjatka cal otoczka zwiazana relacja ten laska seksturystyka impreza rzecz ktore miąć zaskoczyly bedac Tajlandia Bangkok phuket przez tyg temat ladyboyowprostytutekcen protipow napisalem komentarz pod jeden post Dostal wiadomosci ciagu wiec moze znajść si wiecej chetnych ktorzy moze wyjezdzaja pobawic si Tajlandia,48,tajlandia bangkok phuket tinder divyzwykopem ama,6,1
"







                



			    	    












 








",,0,heheszki filipchajzer chajzer wykopuczy,4,1
"







            Jeszcze tak nawiązując do psychologów to przypomniało mi się jak kiedyś moja siostra miała problem w liceum bo ja chłopak zostawił i poszła do szkolnego psychologa sobie pogadać o tej sytuacji Miało to być dyskretne spotkanie żeby się lepiej poczula A on nie dość że dał jej rady typu przestań być smutna to jeszcze kurwa potem wezwał do siebie tego chłopaka i mu wszystko powiedział co moja siostra mu mówiła XD kurwa kunszt sztuki psychologii w wykonaniu pedagoga szkolnego xd     


			    	    












 








",jeszcze tak nawiązywać psycholog przypomnieć się jak kiedy mój siostra mieć problem liceum chłopak zostawić pójść szkolny psycholog soba pogadać ten sytuacja mieć bycie dyskretny spotkanie żeby się dobrze poczula nie dość dać jej rad typ przestać bycie smutny jeszcze kurwa potem wezwać siebie ten chłopak wszystek powiedzieć mój siostra mówić kurwa kunszt sztuk psychologia wykonanie pedagoga szkolny,58,psychologia psychiatria depresja,3,1
"







            WITAJ DZIENNA ZMIANO
Od północy nastąpiło
 atak rakietowy Iranu na bazy USA w Iraku
 trzęsienie ziemi w Iranie o magnitudzie 
 katastrofa ukraińskiego samolotu ze  pasażerami w Iranie

Jak tam Fajnie się spało

   



			    	    












 








",witać dzienny zmiana północ nastąpić atak rakietowy Iran baza USA Irak trzęsienie ziemia Iran magnituda katastrofa ukraiński samolot pasażer Iran jak tam fajnie się spać,25,iran irak usa,3,1
"







            W tym poście dodajemy najbardziej wieśniacie rzeczy ubrania itd

Ode mnie bluzki bluzy z wielkimi napisami CK Tommy itd

  



			    	    












 








",ten post dodawać bardzo wieśniacie rzecz ubranie itd od miąć bluzka bluza wielki napis tommy itd,16,glupiewykopowezabawy heheszki,2,1
